,H1,H2,H3
audio,0.48021502590514276,3.17872317708651,5.207175114249035
co2eq,0.0,0.0,0.0
light,0.0,0.0,0.0
rh,0.0,0.0,0.0
temp,6.086331305659023,0.0,0.0
img,0.0,2.9338364216242097,0.0
weekend,0.6945186287000308,0.16849819676811148,0.0
hr_sin,0.19434723163240306,1.2171804541828646,-0.31899328277620065
hr_cos,1.0951969783099749,0.5990487998152411,1.5701654302712271
lag1_occupied,7.316428726954969,6.41729880872284,6.418153997456127
lag2_occupied,-1.1110881735949947,0.0,-0.25770619726606414
lag3_occupied,0.0,0.0,0.0
lag4_occupied,0.0,0.0,0.54179706136344
lag5_occupied,-0.14522938119819545,0.0,0.0
lag6_occupied,-0.09820511846465961,0.0,0.0
lag7_occupied,0.0,0.0,0.0
lag8_occupied,0.0,0.0,1.1698961753022825
Intercept,-7.457740912879742,-3.7406240100166808,-4.1289952797332825
C,0.1,0.1,0.1
cv,False,False,False
