,H1,H2,H3,H4,H5,H6
C,4.893900918477489,0.7278953843983146,1.3738237958832638,2.592943797404667,2.592943797404667,0.7278953843983146
Intercept,-41.10787938715272,-7.841449623380868,-31.06488564116646,-2.6712203665827836,-36.677086322504586,-1.6184378050291737
audio,1.2463955852859712,4.3652646603043594,9.109503973268296,8.60641455472102,2.940193325191223,8.15964272821624
co2eq,7.4698960597018225,1.337420113492865,14.974446127847036,0.0,0.4868177062933479,-4.049697449136324
cv,True,True,True,True,True,True
hr_cos,1.8459900738953492,1.0296317251161253,2.619119851886321,1.4860723335174815,0.8246446811112519,1.3998891579156505
hr_sin,0.9409005065376741,2.026800333555192,-0.5867457107892453,0.5103695288303719,0.03937911157062005,0.11982131474041993
img,3.1203323730539307,12.71332127354033,0.0,1.7683053512089424,-0.019840816343850636,0.0
lag1_occupied,10.819799550024223,9.540953730716161,8.256486918050282,8.252725886437101,15.750735666222452,9.052737958318518
lag2_occupied,-5.184159927519459,-2.128849858059531,-3.041121587631402,-2.8534105334781277,-9.710972885452815,-2.170149337095314
lag3_occupied,1.0776183674007171,0.3594080594920762,-0.05016869731164174,1.1934285907731326,3.219013008091907,0.6861765530758479
lag4_occupied,0.2655236642893454,0.0,3.460430314910635,-0.918066499373802,-2.335550209113591,0.4562613173254686
lag5_occupied,-0.11579152520651517,-0.3816810258031621,-2.0898907221228065,-1.2761782824447931,0.37402532749214334,0.02445435783788593
lag6_occupied,-0.9625426843568712,-0.4395677345215958,0.05595087952007523,2.6378435601617425,0.3056186628973686,0.0
lag7_occupied,0.0,0.0,0.0,-2.147507916678127,1.174610854326408,0.21906628449520027
lag8_occupied,-1.1823896244604024,0.7974643469908818,2.942555404032104,1.0065009263818439,-1.9303392657656353,-0.7805093300360018
light,6.641201008838533,1.9483785547630204,7.456496405805119,0.0,14.776741835108622,0.0
rh,13.585821836317702,0.19938741025096032,2.478516172685102e-06,0.0,14.06842972217663,0.0
temp,16.587114672796435,1.0697050691381846,5.653972654716598,0.0,8.954251546906487,-1.659364049911727
weekend,2.0571572361744934,1.4891993833403723,0.0,0.5604658309406704,0.0,0.0
